Date;Open;High;Low;Close;Adj Close;Volume
02/01/1990;19791668;20500000;19666668;20500000;11043630;2042400
03/01/1990;20500000;21083332;20250000;21000000;11312984;2803200
04/01/1990;20916668;20916668;20500000;20916668;11268099;3361500
05/01/1990;20791668;20791668;20583332;20625000;11110966;1600500
08/01/1990;20625000;20916668;20541668;20875000;11245644;1416600
09/01/1990;20875000;20875000;20583332;20625000;11110966;1578600
10/01/1990;20625000;20750000;20500000;20708332;11155865;2838000
11/01/1990;20708332;20875000;20250000;20416668;10998743;2562300
12/01/1990;20208332;20208332;19916668;20000000;10774271;2433300
15/01/1990;19916668;19916668;19708332;19791668;10662044;1704900
16/01/1990;19791668;20000000;19416668;19958332;10751826;3266100
17/01/1990;19958332;20291668;19916668;20083332;10819163;2244600
18/01/1990;20083332;20083332;19833332;20000000;10774271;1720200
19/01/1990;20000000;20333332;20000000;20291668;10931396;1852500
22/01/1990;20250000;20250000;19625000;19750000;10639595;2115600
23/01/1990;19750000;19958332;19625000;19666668;10594702;1707000
24/01/1990;19666668;19875000;19041668;19875000;10706932;2964600
25/01/1990;19875000;19916668;19291668;19333332;10415133;1638000
26/01/1990;19333332;19500000;18875000;19291668;10392686;1791300
29/01/1990;19291668;19416668;18875000;19125000;10302896;1359000
30/01/1990;19250000;19750000;19250000;19416668;10460021;4048800
31/01/1990;19416668;19833332;19375000;19750000;10639595;3127200
01/02/1990;19750000;20416668;19750000;20416668;10998743;2986800
02/02/1990;20416668;20791668;20416668;20750000;11178301;2238900
05/02/1990;20750000;21125000;20625000;21041668;11335436;2354400
06/02/1990;21041668;21250000;20833332;21166668;11402781;1862700
07/02/1990;21166668;21333332;20833332;21166668;11402781;2714400
08/02/1990;21166668;21291668;20833332;20833332;11223200;2051400
09/02/1990;20833332;20875000;20666668;20791668;11200752;1884600
12/02/1990;20791668;20958332;20583332;20750000;11232332;1351800
13/02/1990;20750000;20875000;20458332;20708332;11209779;1288800
14/02/1990;20708332;21166668;20708332;21166668;11457876;1500000
15/02/1990;21166668;21166668;21000000;21166668;11457876;1929900
16/02/1990;21166668;21250000;20875000;20958332;11345109;1689600
20/02/1990;20750000;20750000;20291668;20500000;11097000;1579500
21/02/1990;20458332;20458332;20125000;20166668;10916560;2656200
22/02/1990;20208332;20583332;20208332;20208332;10939115;1471200
23/02/1990;20208332;20208332;19958332;20000000;10826343;1600500
26/02/1990;20000000;20458332;20000000;20375000;11029338;1310700
27/02/1990;20375000;20541668;20333332;20541668;11119555;1446000
28/02/1990;20583332;21375000;20583332;21291668;11525543;3216000
01/03/1990;21291668;21791668;21041668;21666668;11728541;2600700
02/03/1990;21666668;21666668;21458332;21625000;11705984;1766700
05/03/1990;21625000;21708332;21333332;21666668;11728541;2316300
06/03/1990;21666668;21791668;21500000;21750000;11773646;1809300
07/03/1990;21750000;22166668;21750000;22041668;11931532;2585400
08/03/1990;22041668;22416668;21916668;22375000;12111970;1685100
09/03/1990;22375000;22666668;22333332;22583332;12224743;2686800
12/03/1990;22500000;22500000;22250000;22333332;12089415;1514100
13/03/1990;22333332;22375000;22041668;22166668;11999202;1985700
14/03/1990;22166668;22500000;22083332;22500000;12179635;1756200
15/03/1990;22500000;22791668;22375000;22458332;12157083;2399400
16/03/1990;22708332;23333332;22708332;23250000;12585621;4717800
19/03/1990;23250000;23958332;22958332;23833332;12901389;3078600
20/03/1990;23833332;24125000;23458332;23500000;12720955;4326000
21/03/1990;23541668;24083332;23541668;23708332;12833729;2744700
22/03/1990;23708332;24250000;23583332;23750000;12856281;5259300
23/03/1990;23875000;24458332;23875000;24416668;13217164;2070300
26/03/1990;24416668;24833332;23875000;24000000;12991608;2671500
27/03/1990;24000000;24333332;23833332;24250000;13126948;2581200
28/03/1990;24250000;24500000;24083332;24291668;13149493;2033400
29/03/1990;24291668;24291668;24000000;24125000;13059278;1647600
30/03/1990;24125000;24166668;23708332;23916668;12946505;2014500
02/04/1990;23833332;23833332;23375000;23791668;12878839;2304000
03/04/1990;23791668;24458332;23791668;24416668;13217164;2256000
04/04/1990;24416668;24500000;24000000;24000000;12991608;2107800
05/04/1990;24208332;24416668;24208332;24291668;13149493;1535100
06/04/1990;24291668;24500000;24125000;24291668;13149493;1138500
09/04/1990;24291668;24416668;24125000;24125000;13059278;1617900
10/04/1990;24083332;24083332;23875000;24041668;13014171;1680000
11/04/1990;24041668;24250000;24000000;24166668;13081830;1026300
12/04/1990;24166668;24541668;24083332;24375000;13194607;1177500
16/04/1990;24416668;24916668;24416668;24416668;13217164;2916900
17/04/1990;24416668;24416668;24125000;24333332;13172051;1333200
18/04/1990;24333332;24375000;23791668;23833332;12901389;1605600
19/04/1990;23833332;23875000;23583332;23708332;12833729;1849200
20/04/1990;23708332;23708332;23166668;23500000;12720955;3154500
23/04/1990;23458332;23458332;23041668;23333332;12630732;2211900
24/04/1990;23333332;23458332;23250000;23291668;12608179;1591200
25/04/1990;23291668;23416668;23208332;23291668;12608179;1186800
26/04/1990;23291668;23416668;23166668;23333332;12630732;1940100
27/04/1990;23333332;23500000;22916668;22916668;12405189;2683800
30/04/1990;22916668;23250000;22833332;23250000;12585621;2847600
01/05/1990;23708332;24083332;23708332;24083332;13036720;4470600
02/05/1990;24166668;24375000;24166668;24333332;13172051;3416100
03/05/1990;24375000;24583332;24375000;24500000;13262270;2011800
04/05/1990;24500000;24750000;24416668;24666668;13352492;1732800
07/05/1990;24666668;24750000;24375000;24458332;13239708;2264100
08/05/1990;24458332;24583332;24458332;24583332;13307379;1845000
09/05/1990;24583332;24625000;24416668;24583332;13307379;1733400
10/05/1990;24583332;25166668;24500000;25125000;13600590;2740200
11/05/1990;25208332;26041668;25208332;26000000;14074249;4488900
14/05/1990;26000000;26375000;25875000;26000000;14142241;3078300
15/05/1990;25916668;25916668;25541668;25666668;13960927;1927200
16/05/1990;25666668;25750000;25416668;25500000;13870269;1937100
17/05/1990;25625000;25916668;25625000;25708332;13983594;1753500
18/05/1990;25708332;25958332;25500000;25958332;14119573;2623800
21/05/1990;25958332;26666668;25750000;26375000;14346205;2529000
22/05/1990;26375000;26750000;26250000;26541668;14436869;2379000
23/05/1990;26541668;27041668;26416668;27041668;14708833;1863300
24/05/1990;27166668;27583332;27166668;27541668;14980803;2445000
25/05/1990;27500000;27500000;27125000;27250000;14822149;1740000
29/05/1990;27250000;27333332;26916668;27291668;14844814;1906200
30/05/1990;27291668;27500000;27041668;27333332;14867476;2765700
31/05/1990;27333332;27875000;27166668;27458332;14935472;3242100
01/06/1990;27625000;28250000;27625000;28250000;15366082;4035000
04/06/1990;28250000;29000000;28250000;28791668;15660716;4224300
05/06/1990;28791668;28791668;28333332;28416668;15456744;2516100
06/06/1990;28416668;28458332;28208332;28333332;15411412;1987500
07/06/1990;28333332;28375000;27833332;27958332;15207437;1451700
08/06/1990;27833332;27833332;27333332;27500000;14958142;2569200
11/06/1990;29250000;29250000;27687500;29250000;15910013;4649400
12/06/1990;29250000;29625000;28875000;29437500;16012011;4301200
13/06/1990;29437500;30375000;29062500;29875000;16249977;4609400
14/06/1990;29875000;30062500;29750000;30062500;16351959;2293600
15/06/1990;30062500;30375000;29937500;30062500;16351959;3561200
18/06/1990;30062500;30062500;29250000;29500000;16046003;2411600
19/06/1990;29437500;29437500;29000000;29312500;15944016;3194800
